tconst,startYear,genre,averageRating,numVotes
tt5104902,2016,Drama,8.1,44
tt5105218,2015,Drama,6.3,599
tt5105296,2015,Documentary,7.7,31
tt5105666,2016,Romance,5.2,877
tt5105668,2016,Documentary,7.3,64
tt5105734,2019,History,7.6,2759
tt5105810,2015,Documentary,7.2,76
tt5106120,2016,Thriller,5.2,66
tt5106216,2017,Drama,7.2,22
tt5106390,2016,Sci-Fi,3.9,833
tt5106400,2016,Romance,5.8,1002
tt5106552,2015,Documentary,8.0,69
tt5108168,2016,Horror,3.9,1015
tt5108234,2015,Documentary,8.3,16
tt5108538,2015,Documentary,5.8,6
tt5108550,2015,Documentary,8.9,24
tt5109028,2015,Thriller,2.8,33
tt5109290,2017,Drama,6.5,33
tt5109324,2015,Family,7.3,101
tt5109784,2017,Horror,6.6,263520
tt5110168,2015,Drama,8.9,9
tt5110942,2017,Drama,6.5,286
tt5111754,2015,Thriller,5.3,784
tt5112458,2023,Comedy,8.6,15
tt5112584,2023,Drama,6.9,31014
tt5112864,2018,Biography,7.5,6
tt5112966,2015,Comedy,6.1,815
tt5113040,2019,Comedy,6.4,75937
tt5113086,2016,Fantasy,3.7,1499
tt5113868,2017,Drama,5.3,113
tt5113986,2015,Mystery,5.6,924
tt5114106,2014,History,6.2,7
tt5114154,2017,Horror,6.3,4504
tt5114512,2015,Documentary,8.1,52
tt5114564,2015,Comedy,4.4,204
tt5114588,2015,Comedy,6.3,12184
tt5114988,2016,Drama,6.5,137
tt5115066,2015,Comedy,8.1,57
tt5115424,2015,Drama,3.0,12
tt5115676,2016,Documentary,7.3,270
tt5116314,2016,Crime,4.9,158
tt5116402,2016,Documentary,7.1,329
tt5116410,2016,Crime,7.9,8522
tt5116564,2004,Adventure,5.7,9
tt5116818,2012,Drama,3.4,28
tt5116938,2015,Sport,7.8,12
tt5117428,2018,Music,7.1,16293
tt5117484,2017,Comedy,3.5,808
tt5118024,2016,Documentary,7.2,125
tt5118052,2019,Comedy,8.1,20
tt5118372,1995,Romance,7.4,42
tt5118514,1995,Romance,7.5,137
tt5118964,2016,Documentary,7.5,27
tt5119108,2016,Drama,8.3,160
tt5119202,2016,Documentary,9.5,99
tt5119914,2017,Drama,9.1,91
tt5120010,2017,Thriller,5.0,347
tt5120042,2015,History,7.6,170
tt5121612,2016,Comedy,8.8,17
tt5121762,2015,Documentary,5.3,16
tt5122374,2016,Adventure,5.4,1444
tt5122626,2020,Drama,2.9,265
tt5122948,2016,Comedy,9.6,9
tt5123386,2015,Romance,8.3,69
tt5123896,2019,Documentary,7.2,2197
tt5123944,2016,Romance,5.4,141
tt5124096,2015,Romance,6.0,2880
tt5124154,2015,Romance,7.0,10
tt5124206,2017,Comedy,8.1,53
tt5124208,2014,Thriller,8.7,15
tt5124294,2014,Animation,5.1,37
tt5124562,2019,Action,2.8,15
tt5124794,2024,Romance,7.3,34
tt5125562,2017,Horror,5.3,104
tt5125582,2017,Mystery,5.1,30
tt5125620,2015,Adventure,5.0,647
tt5125894,2019,Sport,6.1,8165
tt5126082,2015,Mystery,6.3,74
tt5126114,2015,Biography,7.2,15
tt5126178,2017,Adventure,3.2,468
tt5126522,1996,Drama,7.4,69
tt5127000,2015,Drama,7.3,52
tt5127006,2015,Romance,8.2,6
tt5127076,2016,Documentary,9.3,11
tt5127192,2016,Horror,5.0,413
tt5127360,2016,Drama,8.3,22
tt5127758,2016,Fantasy,5.9,71
tt5127916,2016,Documentary,4.0,11
tt5128218,2016,Documentary,6.7,12
tt5128268,2015,Documentary,6.9,8
tt5128292,2016,Biography,9.0,37
tt5128328,2015,Action,7.2,5560
tt5128532,2015,Drama,7.3,12
tt5128712,2016,Sport,6.7,497
tt5128790,2016,Drama,7.0,135
tt5128858,2015,Crime,5.1,47
tt5128914,2015,Documentary,6.4,6
tt5129070,2015,Documentary,7.4,5
tt5129156,2016,Drama,4.1,1104
tt5129250,2015,Documentary,5.4,37
tt5129510,2016,History,6.8,2783
tt5129674,2016,Drama,6.5,967
tt5129768,2015,Documentary,7.1,35
tt5114106,2014,Documentary,6.2,7
tt5114564,2015,Drama,4.4,204
tt5121612,2016,Drama,8.8,17
tt5123944,2016,Drama,5.4,141
tt5124562,2019,Drama,2.8,15
tt5125582,2017,Thriller,5.1,30
tt5126082,2015,Thriller,6.3,74
tt5126114,2015,Documentary,7.2,15
tt5127006,2015,Comedy,8.2,6
tt5128712,2016,Biography,6.7,497
tt5129510,2016,Drama,6.8,2783
tt5130762,2015,Drama,5.2,17
tt5130764,2016,Documentary,7.2,35
tt5131124,2015,Drama,6.3,297
tt5131150,2015,Documentary,8.9,7
tt5131516,2015,Documentary,6.9,125
tt5131742,2016,Documentary,9.0,31
tt5131924,2016,Action,7.8,29
tt5132166,2015,Comedy,7.8,8
tt5132170,2015,Family,8.1,17
tt5132364,2015,History,4.6,8
tt5132414,2016,Biography,6.7,22
tt5132444,2015,Action,6.7,8
tt5132504,2016,Drama,4.8,7
tt5132586,2016,Comedy,6.4,11
tt5132610,2014,Documentary,8.5,10
tt5132734,2016,Comedy,6.8,59
tt5133128,2016,Comedy,6.1,348
tt5133288,2015,Music,5.2,88
tt5133300,1996,Romance,8.0,131
tt5133392,2016,Fantasy,6.4,1264
tt5133796,1996,Drama,8.1,414
tt5134254,2020,Comedy,6.2,1297
tt5134362,1997,Crime,8.2,475
tt5134968,1997,Drama,7.8,67
tt5135434,2016,Biography,7.3,467
tt5135494,2016,Thriller,4.0,12
tt5135640,2016,Drama,6.5,86
tt5135736,2016,Documentary,6.3,53
tt5135976,2022,Music,7.5,56
tt5136090,2015,Family,6.1,45
tt5136148,2016,Documentary,7.0,46
tt5136156,2016,Documentary,7.5,23
tt5136686,2017,Comedy,4.7,840
tt5136868,2016,Crime,7.2,21
tt5137118,2017,Documentary,6.7,43
tt5137124,2015,Documentary,7.0,28
tt5137222,2016,Comedy,6.3,598
tt5137806,2001,Comedy,4.9,85
tt5137986,2016,Documentary,7.6,176
tt5138338,2018,Sci-Fi,7.0,21
tt5138748,2015,Documentary,8.5,46
tt5138834,2016,Adventure,9.0,16
tt5138866,2016,Mystery,3.9,445
tt5138974,2016,Documentary,7.5,209
tt5139332,2022,Thriller,6.2,84
tt5139362,2018,Horror,5.2,131
tt5139926,2018,Thriller,5.3,758
tt5139936,2016,Documentary,7.2,91
tt5139992,2016,Thriller,6.9,50
tt5140182,2016,Biography,6.6,762
tt5140224,2016,Drama,6.2,35
tt5140248,2016,Documentary,7.4,1038
tt5141494,2016,Comedy,6.5,276
tt5141862,2017,Documentary,6.6,92
tt5142216,2016,Comedy,6.0,39
tt5142750,2016,Documentary,7.9,600
tt5142898,2016,Action,5.0,70
tt5143016,2016,Documentary,6.8,35
tt5143226,2017,Horror,5.2,18040
tt5143270,2015,Thriller,3.2,82
tt5143694,2015,Biography,6.4,10
tt5143744,2016,Drama,7.4,102
tt5143810,2022,Drama,7.4,18
tt5143858,2015,Drama,4.9,21
tt5144174,2020,Mystery,6.8,39298
tt5144202,2015,Drama,7.8,9
tt5144374,2016,Romance,5.2,202
tt5144786,2015,Adventure,7.3,106
tt5145840,2016,Action,4.8,311
tt5146612,2018,Drama,4.8,220
tt5146750,2015,Drama,5.2,19
tt5147042,2016,Crime,6.8,1321
tt5147880,2014,Documentary,6.4,31
tt5148580,2005,Comedy,5.8,602
tt5149530,2015,Thriller,6.6,136
tt5149620,2020,Drama,6.2,69
tt5150228,2018,Comedy,3.2,136
tt5150716,2003,Documentary,5.2,16
tt5151200,2015,Documentary,6.6,7
tt5151378,2017,Adventure,6.1,20
tt5151594,2016,Horror,3.6,165
tt5151622,2015,Action,3.6,144
tt5151722,2016,Thriller,8.7,22
tt5152604,2014,History,6.5,8
tt5152652,2016,Romance,6.7,38
